#separator:semicolon
#html:true
#columns:Question;Answer;Category;CardID;SourceFolder
Hvilken fantasyhistorie har Frodo Lommelun som hovedperson og utspiller seg i den fiktive verdenen 'Midgard'?;Ringenes Herre;Bøker;747860af-bc91-4c38-ad87-697b09aaf9b0;008
Hva heter verdens største flyndrefisk?;Kveite;Dyr;747860af-bc91-4c38-ad87-697b09aaf9b0;008
Hvem spiller rollen som Den gale hattemaker i filmene om 'Alice i Eventyrland' fra 2010 og 2016?;Johnny Depp (f. 1963);Film;747860af-bc91-4c38-ad87-697b09aaf9b0;008
I hvilken verdensdel, hvis man ser bort fra Antarktis, kjører bilene på høyre side av veien i alle land?;Nord-Amerika;Geografi;747860af-bc91-4c38-ad87-697b09aaf9b0;008
Under hvilket navn er den dansk-norske sjøhelten Peter Jansen Wessel bedre kjent?;Tordenskjold;Historie;747860af-bc91-4c38-ad87-697b09aaf9b0;008
Hva heter gratismagasinet som utgis i Norges fire største byer og bl.a. inneholder spaltene 'Tidens ånd' og 'Smil & Gift'?;Natt&Dag;Hverdag;747860af-bc91-4c38-ad87-697b09aaf9b0;008
Hva kalles den langkornete ristypen med et indisk navn som betyr 'duft'?;Basmati;Mat_og_drikke;747860af-bc91-4c38-ad87-697b09aaf9b0;008
Hva heter det nest største strykeinstrumentet i et symfoniorkester?;Cello;Musikk;747860af-bc91-4c38-ad87-697b09aaf9b0;008
Hva kalles blomsterslekten 'myosotis', som på våren fyller norske hager med blå blomster?;Forglemmegei;Natur_og_miljø;747860af-bc91-4c38-ad87-697b09aaf9b0;008
Hva kalles de to bakerste tennene i over- og underkjeven som vanligvis kommer frem i 20-års alderen?;Visdomstenner;Naturvitenskap;747860af-bc91-4c38-ad87-697b09aaf9b0;008
Hva heter den digitale læringsplattformen som ble startet i Bergen i 1999 og som brukes i den norske skolen?;itslearning;Samfunn;747860af-bc91-4c38-ad87-697b09aaf9b0;008
Hvilket brettspill har et dyrenavn og går ut på at man fortest mulig skal finne tre bilder blant flere hundre andre bilder?;Villkatten;Spill_og_lek;747860af-bc91-4c38-ad87-697b09aaf9b0;008
Hvilken posisjon på det norske håndball-landslaget forbindes med Cecilie Leganger og Katrine Lunde?;Keeper;Sport;747860af-bc91-4c38-ad87-697b09aaf9b0;008
Hvilket ord fra fransk, som består av to like stavelser, betyr drops?;Bonbon;Språk;747860af-bc91-4c38-ad87-697b09aaf9b0;008
