#separator:semicolon
#html:true
#columns:Question;Answer;Category;CardID
Den greske oldtidsklassikeren 'Odysséen' handler om helten Odyssevs' lange og begivenhetsrike reise. Hvem mener man har skrevet den?;Homer;Bøker;37ca248a-e1c1-4f76-a50a-a5bc2c079771
Hvilken flaggermus-familie hører de største flaggermusene til?;Flygehunder;Dyr;37ca248a-e1c1-4f76-a50a-a5bc2c079771
Hva slags dyr er Marty fra 'Madagaskar'-filmene?;Sebra;Film;37ca248a-e1c1-4f76-a50a-a5bc2c079771
Hva er de nasjonale kjenningsbokstavene for norske fly?;LN;Geografi;37ca248a-e1c1-4f76-a50a-a5bc2c079771
I hvilket tiår ble postnummer innført i Norge?;1960-tallet (1968);Historie;37ca248a-e1c1-4f76-a50a-a5bc2c079771
Hva heter sekkestolen som finske Jukka Setälä designet i 1998?;Fatboy;Hverdag;37ca248a-e1c1-4f76-a50a-a5bc2c079771
Hvilken prosess brukes for å skille fløte fra melk?;Sentrifugering;Mat_og_drikke;37ca248a-e1c1-4f76-a50a-a5bc2c079771
Under hvilket artistnavn er norske Philip Boardman kjent?;Admiral P;Musikk;37ca248a-e1c1-4f76-a50a-a5bc2c079771
Hva heter blomsterfamilien som blomsten på bilde G17 tilhører?;Klokkeblomt-familien;Natur_og_miljø;37ca248a-e1c1-4f76-a50a-a5bc2c079771
Hvilket annet navn brukes om knokkelen 'radius', som sitter i underarmen?;Spolebenet;Naturvitenskap;37ca248a-e1c1-4f76-a50a-a5bc2c079771
Hvilket stort amerikansk selskap har tatt navn etter seiersgudinen i gresk mytologi?;Nike;Samfunn;37ca248a-e1c1-4f76-a50a-a5bc2c079771
Hvis man har Pinkie Pie og Rainbow Dash-figurene i hånden, hvilket leketøysmerke har man da fått tak i?;My Little Pony;Spill_og_lek;37ca248a-e1c1-4f76-a50a-a5bc2c079771
Hvor mange kuler er det på bordet når man starter et spill vanlig biljard, eller pool, som det heter?;16 (15 kuler og 1 hvit støtkule);Sport;37ca248a-e1c1-4f76-a50a-a5bc2c079771
Hvordan teller man til tre på spansk?;Uno, dos, tres;Språk;37ca248a-e1c1-4f76-a50a-a5bc2c079771
En reklame fra 1931 skapte tradisjonen med en tjukk nisse i røde klær. Hvilket amerikansk selskap stod bak reklamen?;Coca-Cola;Tradisjon_og_tro;37ca248a-e1c1-4f76-a50a-a5bc2c079771
Hva heter skaperen av 'X Factor' som er kjent som en fritttalende dommer i 'X Factor' og 'American Idol'?;Simon Cowell (f. 1959);TV_og_serier;37ca248a-e1c1-4f76-a50a-a5bc2c079771
Hvilket dyr er det 'som ville vite hvem som hadde bæsjet på hodet hans' i Werner Holzwarths barnebok?;En muldvarp;Bøker;56f2b780-f13b-421c-ab9b-686819be68a3
Hva kalles billen på bilde 13?;Eikehjort;Dyr;56f2b780-f13b-421c-ab9b-686819be68a3
'What the hell is that? A dress. Says who? Calvin Klein?' Fra hvilken film med Alicia Silverstone som overklassepiken Cher stammer dette sitatet?;Clueless;Film;56f2b780-f13b-421c-ab9b-686819be68a3
Hvor mange tidssoner flytter man seg når man flyr vestover fra Oslo til San Francisco?;9;Geografi;56f2b780-f13b-421c-ab9b-686819be68a3
Hvem var verdens første kvinne til å nå både de tre polene, Nordpolen, Sydpolen og Mount Everest, og toppen av det høyeste fjellet på hvert kontinent?;Cecilie Skog (f. 1974);Historie;56f2b780-f13b-421c-ab9b-686819be68a3
Hva holder mannen i Platekompaniets logo i hendene?;CD-plater;Hverdag;56f2b780-f13b-421c-ab9b-686819be68a3
Hvilken meksikansk rett består av tortillachips, serveres med tomatsalsa og er gratinert med ost?;Nachos;Mat_og_drikke;56f2b780-f13b-421c-ab9b-686819be68a3
Artisten Ravi rappet på monsterhiten 'Utadæsjælåplevelse' fra 2003, men hvilket band stod bak låten?;Folk & Røvere;Musikk;56f2b780-f13b-421c-ab9b-686819be68a3
Hva slags dyrekjøtt blir i butikken merket med bokstavene MSC hvis det er produsert bærekraftig?;Fisk (og skalldyr);Natur_og_miljø;56f2b780-f13b-421c-ab9b-686819be68a3
Hva kalles en sammensetning av to eller flere atomer, som f.eks. H₂O?;Molekyl;Naturvitenskap;56f2b780-f13b-421c-ab9b-686819be68a3
Hvor mange år er et pass gyldig for et barn som er mellom fem og ti år?;3 år;Samfunn;56f2b780-f13b-421c-ab9b-686819be68a3
Hvilket spill spilles med gule og grønne trebrikker på et kvadratisk trebrett med vant og skålhull i hvert hjørne?;Kurong;Spill_og_lek;56f2b780-f13b-421c-ab9b-686819be68a3
Hvor mange steiner har hvert curlinglag i en omgang?;8;Sport;56f2b780-f13b-421c-ab9b-686819be68a3
Hvilket ord er både et programmeringsspråk og slang for kaffe?;Java;Språk;56f2b780-f13b-421c-ab9b-686819be68a3
Hvilket dyr ligger på svenske matfat når den tradisjonelle 'kräftfesten' går av stabelen hver august?;Kreps;Tradisjon_og_tro;56f2b780-f13b-421c-ab9b-686819be68a3
Hvilken superstjerne fikk sitt gjennombrudd som freidig hovedrolleinnehaver i tv-serien 'Fresh Prince i Bel-Air'?;Will Smith (f. 1968);TV_og_serier;56f2b780-f13b-421c-ab9b-686819be68a3
Hva kalles jentegjengen i ungdomsbøkene til Anne Audhild Solberg?;Superbitchene;Bøker;22d97f87-72a7-4664-b7f4-bb1eafbcd374
I hvilken europeisk hovedstad ligger den dyreparken som har flest dyrearter i verden?;Berlin;Dyr;22d97f87-72a7-4664-b7f4-bb1eafbcd374
