#separator:semicolon
#html:true
#columns:Question;Answer;Category;CardID
'Mumier om morgenen' og 'Ridder ved daggry' er to av mange bøker i Mary Pope Osbornes bokserie om tvillingene Annie og Jack. Hva heter serien?;Det magiske trehuset;Bøker;0fc790f0-146c-498b-a169-db13af187fa2
Hvilket norsk rovdyr i mårfamilien har et langsgående stripemønster på hodet?;Grevling;Dyr;0fc790f0-146c-498b-a169-db13af187fa2
Hvilken animasjonsfilmserie handler om de forhistoriske dyrene Manny, Sid og Diego?;Istid;Film;0fc790f0-146c-498b-a169-db13af187fa2
I hvilket land kan man besøke storbyen Johannesburg?;Sør-Afrika;Geografi;0fc790f0-146c-498b-a169-db13af187fa2
Hvilket land erklærte seg selvstendig den 14. mai 1948?;Israel;Historie;0fc790f0-146c-498b-a169-db13af187fa2
Hvilken klesbutikkjede er kjent for merker som Divided og L.O.G.G.?;H&M;Hverdag;0fc790f0-146c-498b-a169-db13af187fa2
Hvilken grønnsak kan man kjøpe i sortene batavia og radicchio?;Salat;Mat og drikke;0fc790f0-146c-498b-a169-db13af187fa2
Hvilken komponist står bak 'Serenade no. 13 i G-dur', som er mer kjent som 'Eine kleine Nachtmusik'?;Mozart (Wolfgang Amadeus Mozart, 1756-91);Musikk;0fc790f0-146c-498b-a169-db13af187fa2
Fra hvilken treslekt kommer bladet som vises på flagget på bilde N13 fra?;Lønnetreet;Natur og miljø;0fc790f0-146c-498b-a169-db13af187fa2
Hva kalles spesialsengen som for tidlig fødte babyer kan legges i for å beskytte dem mot infeksjoner?;Kuvøse;Naturvitenskap;0fc790f0-146c-498b-a169-db13af187fa2
De to eldste døtrene til Prinsesse Märtha Louise og Ari Behn heter Maud Angelica og Leah Isadora. Hva heter den yngste?;Emma Tallulah;Samfunn;0fc790f0-146c-498b-a169-db13af187fa2
Hvor mange brikker har hver spiller i backgammon?;15;Spill og lek;0fc790f0-146c-498b-a169-db13af187fa2
Hva er den høyeste poengscore man kan få med tre piler i dart?;180;Sport;0fc790f0-146c-498b-a169-db13af187fa2
På norsk kan man si ordet 'konto' i flertall på to måter. Den ene måten er kontoer - hva er den andre?;Konti;Språk;0fc790f0-146c-498b-a169-db13af187fa2
Hvilket annet uttrykk enn rØtmåneden blir brukt om perioden mellom 23. juli og 23. august?;Hundedagene;Tradisjon og tro;0fc790f0-146c-498b-a169-db13af187fa2
Hvilken bannende, engelsk mesterkokk er kjent for programmer som 'Hell's Kitchen' og 'Kitchen Nightmares'?;Gordon Ramsay (f. 1966);TV og serier;0fc790f0-146c-498b-a169-db13af187fa2
Hvilken gate i Harry Potter-bøkene kommer man til via vertshuset 'Den lekke heksekjel', som gomper ikke kan se?;Diagonallmenningen;Bøker;1687ce01-fa5e-47c2-872a-1fdd6f0978e0
Hvilken dyreorden tilhørte Lonesome George, som var den siste av sin art da han døde over 100 år gammel?;Skilpadde (Pinta Island-skilpadde);Dyr;1687ce01-fa5e-47c2-872a-1fdd6f0978e0
Hvilken rett lager gutten Linguini og rotten Rémy til matkritikeren Anton Ego i en kjent animasjonsfilm fra 2007?;Ratatouille;Film;1687ce01-fa5e-47c2-872a-1fdd6f0978e0
Hvilken øy er Norges største, hvis man ikke regner med Svalbard?;Hinnøya;Geografi;1687ce01-fa5e-47c2-872a-1fdd6f0978e0
Hvilken sak, som varte fra 1968-82, hadde bl.a. slagordet 'La elva leve'?;Alta-saken;Historie;1687ce01-fa5e-47c2-872a-1fdd6f0978e0
